AREA_NAME,Crime_Type,Total_Count
Guildwood,HOMICIDE,32.316915509
Guildwood,ROBBERY,723.368582772
Guildwood,SHOOTING,43.216591831
Guildwood,THEFTFROMMV,3887.4330811
Guildwood,THEFTOVER,185.008431443
Harbourfront-CityPlace,ASSAULT,8891.2246703
Harbourfront-CityPlace,AUTOTHEFT,851.63767811
Harbourfront-CityPlace,BIKETHEFT,4652.4586452
Harbourfront-CityPlace,BREAKENTER,2791.6473617
Harbourfront-CityPlace,HOMICIDE,12.894192695000001
Harbourfront-CityPlace,ROBBERY,845.46468354
Harbourfront-CityPlace,SHOOTING,123.858032929
Harbourfront-CityPlace,THEFTFROMMV,3129.3394605
Harbourfront-CityPlace,THEFTOVER,703.7525158
Henry Farm,ASSAULT,5183.9132690999995
Henry Farm,AUTOTHEFT,1462.29092408
Henry Farm,BIKETHEFT,377.81734182
Henry Farm,BREAKENTER,1814.28298943
Henry Farm,HOMICIDE,26.044692516
Henry Farm,ROBBERY,548.65169907
Henry Farm,SHOOTING,102.861783509
Henry Farm,THEFTFROMMV,3607.0357542
Henry Farm,THEFTOVER,412.831260212
High Park North,ASSAULT,5569.3213197
High Park North,AUTOTHEFT,1042.94265166
High Park North,BIKETHEFT,2243.5573678
High Park North,BREAKENTER,2399.18279255
High Park North,HOMICIDE,15.690180778
High Park North,ROBBERY,1069.86990751
High Park North,SHOOTING,0
High Park North,THEFTFROMMV,1796.17758425
High Park North,THEFTOVER,204.789745333
High Park-Swansea,ASSAULT,4840.8830566
High Park-Swansea,AUTOTHEFT,1530.89006045
High Park-Swansea,BIKETHEFT,1498.07112554
High Park-Swansea,BREAKENTER,2241.2033919
High Park-Swansea,HOMICIDE,14.65518713
High Park-Swansea,ROBBERY,983.46870791
High Park-Swansea,SHOOTING,114.638029576
High Park-Swansea,THEFTFROMMV,2431.5048256
High Park-Swansea,THEFTOVER,355.64181041
Highland Creek,ASSAULT,4719.104126
Highland Creek,AUTOTHEFT,2137.83597568
Highland Creek,BIKETHEFT,440.09823658
Highland Creek,BREAKENTER,2039.49535739
Highland Creek,HOMICIDE,25.530722142000002
Highland Creek,ROBBERY,904.8187274100001
Highland Creek,SHOOTING,67.796537878
Highland Creek,THEFTFROMMV,2806.6463142000002
Highland Creek,THEFTOVER,179.12774610900001
Hillcrest Village,ASSAULT,3687.4142608
Hillcrest Village,AUTOTHEFT,1752.31412508
Hillcrest Village,BIKETHEFT,272.5585146
Hillcrest Village,BREAKENTER,2217.8508834
Hillcrest Village,HOMICIDE,13.218702792999999
Hillcrest Village,ROBBERY,1114.86873243
